問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,科目,回
川が海に注ぐところを何といいますか？,河口,源流,中流,上流,1,川が海に注ぐところを河口といいます。,理科,1
川の働きで、上流で主に起こることは何ですか？,浸食,運搬,堆積,蒸発,1,上流では川底や岸を削る浸食作用が強いです。,社会,1
川の働きで、下流で主に起こることは何ですか？,堆積,浸食,削る,蒸発,1,下流では流れが緩やかになり、土砂が堆積します。,社会,1
川の流れで、上流の特徴はどれですか？,流れが速い,流れが遅い,幅が広い,深い,1,上流は傾斜が急で流れが速いです。,理科,1
日本で一番長い川はどれですか？,信濃川,利根川,石狩川,木曽川,1,信濃川は日本で最も長い川です（367km）。,社会,1
日本で流域面積が最も大きい川はどれですか？,利根川,信濃川,石狩川,淀川,1,利根川は流域面積が日本一です。,社会,1
日本の周りの海で、北にある海は何ですか？,オホーツク海,東シナ海,太平洋,日本海,1,日本の北にあるのはオホーツク海です。,社会,1
日本の川の特徴はどれですか？,短くて急,長くてゆるやか,浅い,流れない,1,日本の川は山が多いため短く急な傾斜です。,社会,1
日本の最も大きい湖はどれですか？,琵琶湖,霞ヶ浦,サロマ湖,猪苗代湖,1,日本最大の湖は滋賀県にある琵琶湖です。,社会,1
日本の標準時の基準となる場所はどこですか？,兵庫県明石市,東京都,京都府,大阪府,1,日本の標準時は兵庫県明石市を通る東経135度の経線が基準です。,社会,1
時間の単位で、1日は何時間ですか？,24時間,12時間,48時間,36時間,1,1日は24時間です。,理科,1
海と川の水の違いで正しいものはどれですか？,海の水は塩からい,川の水は塩からい,どちらも塩からい,どちらも同じ,1,海の水は塩分を含んでいるため塩からいです。川の水は淡水です。,理科,1
海の深さによって、沿岸から順に海底の地形は何と呼ばれますか？,大陸棚・大陸斜面・深海底,深海底・大陸斜面・大陸棚,大陸斜面・大陸棚・深海底,深海底・大陸棚・大陸斜面,1,沿岸から順に大陸棚（浅い）、大陸斜面（傾斜）、深海底（深い）となります。,理科,1
海の生き物で、沿岸に住む魚はどれですか？,アジ,マグロ,カツオ,サンマ,1,アジは沿岸に住む魚です。,理科,1
海流で、日本の太平洋側を北上する暖流は何ですか？,黒潮,親潮,対馬海流,リマン海流,1,黒潮（日本海流）は太平洋側を北上する暖流です。,社会,1
海流で、日本の太平洋側を南下する寒流は何ですか？,親潮,黒潮,対馬海流,リマン海流,1,親潮（千島海流）は太平洋側を南下する寒流です。,社会,1
深い海に住む魚の特徴はどれですか？,目が大きい,目が小さい,目がない,色が明るい,1,深海魚は暗い環境に適応するため、目が大きいものが多いです。,理科,1
深海に住む生物の特徴はどれですか？,光る,速く泳ぐ,色が鮮やか,小さい,1,深海生物には発光するものが多いです。,理科,1
湖と池の違いで正しいものはどれですか？,湖の方が大きい,池の方が大きい,大きさは同じ,形が違う,1,一般的に湖の方が池よりも大きいです。,理科,1
魚が住む場所で、沿岸に近い浅い海を何といいますか？,沿岸,沖合,深海,遠洋,1,沿岸は海岸に近い浅い海のことです。,理科,1
